"categoria_1","categoria_2","categoria_3","categoria_4","anio","componente","emision"
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1990,"co2",66719.1677735
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1990,"co2",37140.011381
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1990,"co2",6786.88867527972
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1990,"co2",127.4446635
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1990,"co2",16150.2562815
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1990,"co2",3230.162661
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1990,"co2",4509.3215475
"energía","consumo de combustibles fósiles","otros","otros",1990,"co2",19877.1602975
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1990,"co2",4095.58868133379
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1990,"co2",79985.975883
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1990,"co2",1954.064574
"energía","consumo de combustibles fósiles","navegación","navegación",1990,"co2",1836.84172034192
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1990,"co2",3718.650771
"energía","consumo de combustibles fósiles","residencial","residencial",1990,"co2",18339.6975135
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1990,"co2",4984.043724
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1990,"co2",12108.072482
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1990,"co2",2175.31336
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1990,"co2",2001.945887013
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1990,"co2",186.335
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1990,"co2",3948
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1990,"co2",7245.1929
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1990,"co2",418.2909
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1990,"co2",97.719
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1990,"co2",16158.6624907945
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1990,"co2",73719.8125638274
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1990,"co2",-8070.67212425329
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1990,"co2",19449.0461605934
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1990,"co2",184.90694325899
"bunkers","aviación internacional","aviación internacional","aviación internacional",1990,"co2",1149.06472559373
"bunkers","navegación internacional","navegación internacional","navegación internacional",1990,"co2",93.8227846580755
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1990,"co2",33716.0871666667
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1991,"co2",68954.6754545
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1991,"co2",37610.8260460313
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1991,"co2",6477.32493062257
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1991,"co2",109.311081
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1991,"co2",17438.666949
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1991,"co2",2864.001426
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1991,"co2",4153.4847255
"energía","consumo de combustibles fósiles","otros","otros",1991,"co2",19713.062655
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1991,"co2",4345.28016806967
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1991,"co2",85726.378386
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1991,"co2",1635.609756
"energía","consumo de combustibles fósiles","navegación","navegación",1991,"co2",2106.29059895971
